Taxon,Level,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Planctomycetaceae,family,0,0.022223302,0,0,0.000576598,0.004813138,0,0,0.041646031,0.009541324,0.017461671,0.01764108,0,0.037750347,0,0.004584621,0.032833698,0.000379205,0.014574486,0,0.008638525,0.007752832,0.000847883,0,0,0,0,0.0155294,0.025201911,0,0.000721704,0,0.012923865,0,0,0.013752426,0.014351313,0.013639368,0,0.005053057
Polyangiaceae,family,0.009644004,0,0,0,0,0,0,0,0,0,0,0,0,0.012059672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyangium,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010964735,0,0,0,0,0.004257275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonadaceae,family,0,0.000230902,0,0.000140468,0.001999437,0,0.000112655,0,0.00821735,0,0.003024831,0,0.004037751,0,0.001237446,0,0,0,0.000206629,0,0,0.004837284,7.01E-05,0,0.004757571,0.004149486,6.58E-05,0,0,0.007368073,0,0.003786786,0.008440739,0,0.008643634,0,0.006918509,0.010891015,0,0.005074112
Porphyromonas,genus,0.003937907,0.01701383,0,0,0.327293756,0,0.000126174,0,0,0,0,0,0,0,0,0.001739756,0,0,0.049074444,0,0.001265165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Povalibacter,genus,0,0.006890601,0,0,8.31E-05,0.002751386,0,0,0.010919407,0,0,0,0,0,0,0,0,5.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.004586428,0,0,0,0,0,0,0,0,0
Prevotella,genus,0.004468364,0.012371485,0.001277078,0.007808154,0.245308361,0.0461268,0.046815011,0.06966857,0,0,0.010497752,0.007975924,0.060860264,0,0.003513523,0,7.78E-05,0,0.306748226,0.178040985,0.00125646,0.019528498,0.007532849,0.031687925,0.059466332,0.095725931,0.05667556,0.005830717,0.00391249,0.03967462,0.012875196,0.074738256,0.043539151,0.030069465,0.049915657,0.027594616,0.028569291,0.008468463,0.051309407,0
Prevotellaceae,family,0,0,0,0.000764147,0.001631432,0,0,0.002022918,0,0,0,0,0.001409445,0,0.002440613,0,0,0,0,0.002377257,0.000220533,0.00781872,0,0,0.000852793,0.015747774,0.005698065,0,0,0.000530023,0,5.70E-05,0.011274183,0,0,0.002180491,0.004054505,0,0,0
Propionibacterium,genus,0.009743465,0,0.00039092,0.003354379,0.000130582,0.022132574,0.01203158,0.012936907,0.001037697,0.021453695,0.004610192,0.00342187,0.01316812,0.003584477,0.001686491,0.004306765,0.025885473,0,0.001535469,0.000217527,0.009773112,0.022343383,0.032163514,0.032159812,0.00033054,0.002651878,0.019995573,0.022168873,0.002085675,0.000562372,0.002883207,0.004527756,0.01195681,0.000489046,0.014375859,0.014261083,0.01672279,0.00560608,0.001959254,0.005632053
Proteobacteria,phylum,0.010981198,0.009782952,0,0.005401467,0.000205201,0.004459388,0.00568233,0,0.049223243,0.006259708,0.01364578,0,0.000146263,0.03063902,0,0.003337427,0.015114983,0.000278827,0.002255109,0,0.00246359,5.12E-05,0,0,0,0,0,0.023904663,0.014973226,0.005959654,0,0.00173843,0.005675015,0,0.012311008,0.013056764,0.000439465,0.004081804,0,0.008839341
Providencia,genus,0.007658474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018363753,0,0,0,0,0,0,0,0,0
Pseudomonadaceae,family,0.003558483,0,0,0,0,0.00407348,0,0,0,0.008170116,0.002684416,0,0,0,0,0.021230712,0,0,0.000156753,0,4.93E-05,0,0,0,0,0,0,0,0.00498861,0,0,0,0,0,0,7.85E-05,0,0,0,0.001007102
Pseudomonas,genus,0.021549819,0.04713641,0,0,0.000540984,0.043246778,0.036058689,0.000822533,0.024163525,0.043257334,0.020210928,0.01166185,0.004816344,0.044177818,0.000356494,0.052372668,0.035018908,0,0.004645595,0.000327844,0.002176316,0.019244813,0,0.001279815,0.000769056,0,0.011461935,0.013195834,0.032997308,0.001552745,0.040184467,0.009532868,0.000203163,0.000368507,0,0.032636299,0,0.002366701,0.018578339,0.032532564
Pseudoxanthomonas,genus,0,0,0,0,0,0,0,0,0,0,0.023384893,0.020082689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyramidobacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084408149,0,0.000995642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobiaceae,family,0.023550084,0.140635507,0,0,0.000469757,0.064711158,0.077168839,0,0.054708215,0.043328751,0.009249563,0.062950115,0,0.067405845,0,0.004534102,0.037544862,0.001159921,0.026412916,0.002889998,0.005054858,0.005289349,0.000612638,0,0.002944009,0.003891165,0,0.044481597,0.055558843,0.000340907,0.037503338,0.001168453,0,0.005668805,0.010342996,0.051796941,0,0.006653293,0.000125129,0.069125119
Rhizobiales,order,0.01158533,0.009851818,0,0,0,0.009036693,0,0,0.020592229,0.012262315,0.005375316,0.01517415,0,0.007034489,0,0.001184045,0,0,0.003035312,0,0.000542628,0.001231741,0,0,0,0,0,0.025077839,0.004755636,0,0.026349406,0,0.005526029,0,0.010664751,0.004798576,0.006117132,0.003090442,0,0.004186317
Rhizobium,genus,0.006803849,6.48E-05,0,0,0,0,0.002983111,0,0.012199683,0,0.000577085,7.60E-05,0,8.45E-05,0,0,0,0,0,0,0.000914053,0,0,0,0,0,0,0,0.010746406,0,0,0,0,0,0,0.003770042,0,0,0,0
Rhodobacteraceae,family,0,0,0,0,4.75E-05,0,0,0.000100246,0,0.015336821,0,0.004807258,1.92E-05,0,0,0,0,0,0,0,0,0.010315146,0,0,0,0,0,0.004628771,0,0,0,0,0,0.008575532,0,0,0,0,0,0.009758717
Rhodococcus,genus,0,0.006355881,0,0,0,0,0,0,0,0.003460158,0,0,0,0.009343461,0,0.000192605,0.010574192,0,0,0,0,0,0,0,0,0.012674081,0,0,0,0,0.012676727,0,0,0,0,0,0,0,0,0
Rhodospirillaceae,family,0.015880559,0.006615139,0,0,0,0,0.001856558,0,0,0,0.003423603,0,0,0,0,0,0,0.000326228,0,0,0,0,0,0,0,0,0,0.016587496,0.002936217,0,0.002688347,0,0,0,0,0.006511551,0,0,0,0.006969008
Rhodospirillales,order,0.002051837,0.010021956,0,0,0,0,0,0,0.002365141,0,0.000405256,0.002806946,0,0.001909416,0,0,0,0.000315075,0.000616325,0,0.001009811,0,0,0,0,0,0,0.006182351,0.007898941,0,0,0,0,0,0,0.008400313,0,0,0,0
Romboutsia,genus,0,0,0,0,0,0.016508313,0,0.005145974,0,0,0,0,0.016666617,0,0.001611079,0,0,0,0,0.00196551,0.001224541,0.007459996,0.000897936,0.011315754,0.005616975,0.028183153,0,0,0,0.009990818,0,0,0,0.011802549,0,0,0.007454574,0,0.009598699,0
Roseimicrobium,genus,0,0.012071717,0,0,2.71E-05,0,0,0,0,0,0,0.003942747,0,0.004948346,0,0.001095636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia,genus,0,0,0,0,0,0,0.00456479,0.001452285,0,0,0,0,0.027176884,0,0,0,0.008285277,0,0,0,0,0,0.000350365,0.002519114,0,0.001903074,0.013196779,0,0,0.021676218,0,0.018221458,0,0.026811452,0.001255779,0,0.031610169,0,0,0
Ruminococcaceae,family,0,0,5.05E-05,0.00240856,0,0,0.001793471,0.008430966,0.007927604,0,0,0.018907099,0.011064294,0,0.00225551,0,0,0,0.001781287,0.002649165,0,0.022599615,0.001207258,0.01135627,0.031482824,0.018945723,0,0.005849897,0,0,0.008223815,0.013230595,0.015781689,0.007897066,0,0.003897207,0.004078995,0.012243084,0,0
Saccharibacteria_genera_incertae_sedis,genus,0,0,0.000165811,0.016760655,0,0,0.001933164,0.006372063,0.023685106,0.007073863,0,0,0.026278621,0,0.016984883,0,0.022222469,0,0,0.010212881,0.002222745,0.008927836,0.010521964,0,0.050495479,0.040752597,0.038752827,0.044318567,0.012983699,0.076773775,0.027103586,0.040087207,0.03838965,0.040663174,0.047838311,0.008127284,0.016540474,0.031821313,0.049774933,0.008119982
Scardovia,genus,0,0,0.000108711,0.002575249,0,0,0,0.007495335,0,0,0,0,0.016362272,0,0,0,0,0,0,0.002911751,0,0,0.00147754,0,0.01902147,0.007985063,0.003338079,0,0,0.003299583,0,0.004616815,0.002158944,0.003230461,0.017818318,0,0.016641156,0.003209126,0.004395973,0
Schwartzia,genus,0,0,9.11E-05,0.000966421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002016908,0,0.008024462,0.001756269,0,0.015018365,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenomonas,genus,0,0,0,0,0,0,0,0,0,0,0.010011444,0,0.003501452,0,0,0,0,0,0,0.001679617,0,0.002512899,0,0,0,0,0.011698233,0,0,0,0,0.022877458,0,0.009646612,0.008943521,0,0,0.016287653,0,0
Serratia,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111415,0,0,0,0,0,0,0,0.000397159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01022778,0,0
Sinobacteraceae,family,0.006461262,0,0,0,0.000144149,0.004277154,0.001464518,0,0.004733652,0,0.005008964,0,0,0,0,0,0,0,0.004289338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013060749
Slackia,genus,0,0,0,0,0,0,0,0.012816097,0,0,0,0,0,0,0,0,0,0,0,6.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000933352,0,0,0
Sneathia,genus,0,0,0,0,0.01170154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartobacteria_genera_incertae_sedis,genus,0,0,0,0,4.07E-05,0,0,0,0,0,0,0,0,0,0,0,0.003674115,0,0,0.000537602,0,0.009035819,0,0,0,0,0,0,0,0,5.77E-05,0,0.013820491,0,0,0,0,0,0.011890532,0
Sphingobium,genus,0,0,0,0,0,0,0,0,0,0,0.021446148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonadaceae,family,0.000209973,0,0,1.50E-05,0.000133974,0.005995876,0,0.011425502,0.007951188,0.003888661,0.016706274,0.013633223,0,0,0,0.00097881,0.021255792,0.000206332,0.002151794,0,0.000304684,0.003398727,0.002809928,0,0.007617843,0,0,0.00813871,0,0,7.58E-05,0.008325229,0.007075484,0.001201952,0,0.004211377,0,0.003099751,0,0
Sphingomonas,genus,0,0,7.91E-05,0.0017905,0.000125495,0.001068395,0,0,0.005626476,0.026920673,0.025492224,0.008764473,0.001852667,0.006158539,0.000887807,0.000738844,0.023144702,0.000142202,0.004531593,0.000295215,0.003621391,0.010745249,0.001250303,0.012645618,0.002703816,0.000199463,0.002129671,0.022712307,0.018275546,0,0.01408405,0.010904376,0.013102649,0.010855452,0.008765463,0.014537852,0.009802921,0.004893975,0.004129251,0
Sphingopyxis,genus,0.011146966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,genus,0,0.012177041,0.504028339,0.580751373,8.65E-05,0.045422874,0.089952955,0.00104873,0,0.007348819,0.002457472,0.006594154,0.013549291,0.019697336,0.105011483,0.090041078,0.058296944,0.000354111,0.003270442,0.001075204,0.013168165,0.009590377,0.523864867,0.058132662,0.059724153,0.012530206,0.134318805,0.023818353,0.002255784,0.032351338,0.023892004,0.007438202,0.146599596,0,0.027330376,0.047245214,0.006625986,0.005468779,0.018729811,0.005063584
Stenotrophomonas,genus,0.013950284,0.016758622,0,0,8.48E-05,0.016008061,0.005146091,0,0.001721634,0.015733186,0.002133268,0.040161761,0,0,0,0,0,0,0.004848662,0.000160038,0,0.012128899,0,0,0.0002446,0.030017559,0,0.001802919,0.010568901,0.017784402,0,0.000762344,0,0.016048987,0,0.025649753,0,0,0.00194279,0.009306047
Stomatobaculum,genus,0,0,0,0,0,0.012095377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptobacillus,genus,0,0,0,0,0.054532566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,genus,0,0.01408097,0.000501827,0.009619256,0.000344263,0,0.034778925,0.067910406,0.012573658,0.001231945,0.025109662,0.00889831,0.032569416,0,0.006684263,0.710041647,0,0,0.044332659,0.034826033,0.001964488,0.012516907,0.007834163,0.051521478,0.035737974,0.039689884,0.067168376,0,0,0.032699711,0,0.109221874,0.035721445,0.032635237,0.095245533,0,0.063017613,0.013527665,0.098736528,0
Streptophyta,genus,0,0,0.002500349,0.037038632,0,0,0,0,0,0,0,0,0,0,0,0.00270278,0.008166757,0,0,0.001166876,0,0.018598743,0,0,0.010277587,0,0,0,0,0,0,0,0.015695007,0.090714662,0.00046545,0,0.024212739,0.219391127,0.006727321,0
Subdivision3_genera_incertae_sedis,genus,0,0,0,0,0,0.010512437,0.020859244,0,0.003190583,0,0.001854451,0,0,0,0,0.001420854,0.007188969,0,0,0,0.002039934,0.001390971,0,0,0.01173637,0,0.006577452,0.010133429,0.003797852,0,0.003247667,0,0.003036607,0,0,0.003803703,0,0,0,0.02246505
Succiniclasticum,genus,0,0,0,0,0,0,0,0,0,0,0.006876384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014069616,0,0,0,0,0,0,0,0,0
Tepidisphaera,genus,0.010752807,0.008818835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001608252,0,0,0,0
Treponema,genus,0.020809389,0,0,0,0.000147541,0,0,0.016689715,0,0,0,0,0.006611392,0,0,0.001629246,0,0,0,0.004207589,0,0.000794318,0,0,0.024369605,0,0.003816657,0,0,0,0,0,0,0.027820541,0,0,0,0,0,0
Turicibacter,genus,0,0,6.15E-05,0,0,0,0,0,0,0,0,0,0.010888482,0,0.007102458,0,0,0,0,0,0,0.011856196,0.000458478,0,0.034693468,0.005222009,0.011686268,0,0,0,0,0.008845333,0,0.012153836,0.011280145,0,0.01786431,0,0.002374155,0
Unassig,-,0.004409424,0.016106426,0,0,0.001119278,0.000621742,0.046986247,0,0.005943176,0.000617758,0.001533489,0.001801365,0,0.005236487,0,0.001187202,0.000466672,0.009273794,0.003968706,0,0.00376938,0,0,0,0,0,0,0.01472384,0.000887521,0,0.000739746,0,0,0,0,0.000276769,0,0,0,0.007502386
Unassigned,-,0,0,0.003250343,0.06224985,0,0,0,0.033145522,0,0,0,0,0.121503349,0,0.008610702,0,0,0,0,0.067621298,0,0.033866478,0.024196212,0.07148611,0.040127544,0.025707849,0.031433579,0,0,0.057546116,0,0.022799087,0.031595885,0.029267016,0.053695489,0,0.147681925,0.036086961,0.033458791,0
Veillonella,genus,0,0,6.37E-05,5.24E-05,0,0.008429245,0.047581067,0.009451422,0,0,0,0,0.008127211,0,0.005642203,0,0,0,0,0.002385025,0.000737046,0.008149991,0.002526633,0.000305058,0.017027212,0.021316391,0.017776169,0,0,0.004635839,0,0.01722756,0.024276605,0.056440087,0.019836311,0,0,0.010469803,0.040281606,0
Veillonellaceae,family,0,0,0,0,0,0,0,0.002763198,0,0,0.000609505,0.003888489,0.002077233,0,0,0,0,0,0,2.18E-05,0,0.000863866,0.000661689,0.004127819,0.0011635,0,0.013878752,0,0,0.016129634,0,0,0,8.61E-05,0,0,0,0,0.017208507,0
Verrucomicrobia,phylum,0.004243657,0,0,0,0.000289995,0,0.000410065,0.01289578,0,0,0.007894387,0,0,0,0,0,0.001907429,0.000270462,0.001977228,0,0.000780572,0,0.001831909,0.007829034,0.010978332,0,0,0.001384156,0,0,0.007220647,0,0.001476317,0,0,0,0,0.006590461,0,0.003351159
WPS-1_genera_incertae_sedis,genus,0.012307341,0,0,0,0,0.01955985,0.025031994,0,0.015511554,0.027891946,0,0.010580307,0,0.008309994,0,0.000448358,0,0.000253733,0.001934477,0,0.002614481,0,0,0,0,0,0,0.010827105,0,0,0.019839637,0,0,0,0,0.008269408,0,0,0,0.01640489
Williamsia,genus,0,0.015911982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonadaceae,family,0.003606371,0,0,0,0,0,0,0,0.011805492,0.005602671,0,0.013152136,0,0,0,0,0.002348174,0,0.001307464,0,0.000957579,0,0,0,0,0,0,0,0.012025916,0,0.014997005,0,0,0,0,0,0,0,0,0.000196508
Zavarzinella,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019106872
